Source,Target,Weight
대학,자신,257
에서,자신,131
수업,자신,101
으로,자신,215
자신,했다,159
자신,하는,138
사회,생활,340
생활,서비스,226
생활,에서,606
까지,생활,152
공부,생활,106
대학,생활,913
생활,수업,645
생활,으로,939
생활,했다,412
생활,하는,465
생활,에게,108
대학생,생활,271
경험,생활,161
생활,장학금,171
생활,하며,114
사회,서비스,133
사회,에서,480
까지,사회,150
대학,사회,1117
사회,수업,370
사회,으로,906
사회,했다,656
사회,하는,563
사회,에게,181
대학생,사회,151
사회,통계,110
사회,장학금,112
사회,이번,117
됐다,사회,116
서비스,에서,110
대학,서비스,185
서비스,수업,246
서비스,으로,183
서비스,했다,120
서비스,하는,106
대학,시간,135
시간,으로,139
시간,했다,115
공부,대학,261
공부,수업,112
공부,으로,229
공부,했다,138
공부,하는,128
공부,에서,136
수업,으로,1270
수업,했다,607
수업,하는,690
수업,에게,171
대학생,수업,206
경험,수업,177
수업,장학금,191
수업,에서,754
수업,하며,146
됐다,수업,115
시험,했다,182
시험,하는,126
시험,에서,114
시험,으로,202
으로,청년,128
대학생,했다,185
대학생,에서,275
대학생,으로,393
경험,했다,102
경험,에서,134
경험,으로,207
통계,했다,142
으로,통계,191
보고,으로,122
장학금,했다,167
에서,장학금,189
으로,장학금,326
무단,세계,155
배포,세계,155
금지,세계,155
세계,코로나,202
대면,세계,140
세계,으로,592
강의,세계,138
세계,진행,135
대학,세계,754
세계,수업,282
세계,시작,102
세계,했다,371
서울,세계,110
세계,캠퍼스,227
세계,학교,155
세계,학생,643
생활,세계,311
세계,하는,363
세계,에서,387
세계,한다,124
세계,전공,106
세계,입학,142
생각,세계,114
세계,있다,323
대학생,세계,148
비대,세계,136
19,세계,114
세계,지난해,117
교수,세계,203
세계,소통,108
세계,있는,180
까지,세계,110
세계,하고,337
세계,위해,116
세계,이다,280
세계,취업,285
세계,시대,118
세계,학과,237
세계,전국,113
세계,신입생,174
사회,세계,232
세계,역량,128
세계,지원,444
사업,세계,147
세계,전문,211
교육,세계,460
세계,혁신,145
세계,학기,101
세계,평가,182
계획,세계,108
미래,세계,124
세계,지역,177
다양한,세계,139
세계,인재,142
세계,정보,113
세계,통해,148
세계,프로그램,137
세계,양성,106
세계,직업,148
세계,온라인,123
김씨,세계,122
상황,세계,126
세계,운영,136
메타,세계,203
버스,세계,248
세계,이프,182
랜드,세계,182
SKT,세계,121
세계,플랫폼,114
세계,제공,141
서비스,세계,104
문화,세계,102
무단,배포,130
금지,무단,130
무단,코로나,176
대면,무단,101
무단,으로,491
강의,무단,105
무단,진행,106
대학,무단,645
무단,수업,212
무단,했다,307
무단,캠퍼스,183
무단,학교,121
무단,학생,540
무단,생활,249
무단,하는,299
무단,에서,312
무단,입학,109
무단,있다,259
대학생,무단,124
무단,비대,103
19,무단,100
교수,무단,174
무단,있는,144
무단,하고,273
무단,위해,100
무단,이다,223
무단,취업,228
무단,학과,201
무단,신입생,134
무단,사회,192
무단,역량,105
무단,지원,381
무단,사업,123
무단,전문,178
교육,무단,398
무단,혁신,126
무단,평가,156
무단,미래,105
무단,지역,145
다양한,무단,103
무단,인재,119
무단,통해,115
무단,프로그램,118
무단,직업,128
무단,온라인,101
김씨,무단,106
무단,상황,102
무단,운영,118
메타,무단,145
무단,버스,185
무단,이프,130
랜드,무단,130
무단,제공,120
금지,배포,130
배포,코로나,176
대면,배포,101
배포,으로,491
강의,배포,105
배포,진행,106
대학,배포,645
배포,수업,212
배포,했다,307
배포,캠퍼스,183
배포,학교,121
배포,학생,540
배포,생활,249
배포,하는,299
배포,에서,312
배포,입학,109
배포,있다,259
대학생,배포,124
배포,비대,103
19,배포,100
교수,배포,174
배포,있는,144
배포,하고,273
배포,위해,100
배포,이다,223
배포,취업,228
배포,학과,201
배포,신입생,134
배포,사회,192
배포,역량,105
배포,지원,381
배포,사업,123
배포,전문,178
교육,배포,398
배포,혁신,126
배포,평가,156
미래,배포,105
배포,지역,145
다양한,배포,103
배포,인재,119
배포,통해,115
배포,프로그램,118
배포,직업,128
배포,온라인,101
김씨,배포,106
배포,상황,102
배포,운영,118
메타,배포,145
배포,버스,185
배포,이프,130
랜드,배포,130
배포,제공,120
금지,코로나,176
금지,대면,101
금지,으로,491
강의,금지,105
금지,진행,106
금지,대학,645
금지,수업,212
금지,했다,307
금지,캠퍼스,183
금지,학교,121
금지,학생,540
금지,생활,249
금지,하는,299
금지,에서,312
금지,입학,109
금지,있다,259
금지,대학생,124
금지,비대,103
19,금지,100
교수,금지,174
금지,있는,144
금지,하고,273
금지,위해,100
금지,이다,223
금지,취업,228
금지,학과,201
금지,신입생,134
금지,사회,192
금지,역량,105
금지,지원,381
금지,사업,123
금지,전문,178
교육,금지,398
금지,혁신,126
금지,평가,156
금지,미래,105
금지,지역,145
금지,다양한,103
금지,인재,119
금지,통해,115
금지,프로그램,118
금지,직업,128
금지,온라인,101
금지,김씨,106
금지,상황,102
금지,운영,118
금지,메타,145
금지,버스,185
금지,이프,130
금지,랜드,130
금지,제공,120
위드,으로,185
대학,위드,227
수업,위드,104
에서,위드,118
위드,이다,136
메타,위드,116
버스,위드,116
위드,이프,104
랜드,위드,104
단계,대면,106
단계,으로,281
단계,대학,276
단계,수업,183
단계,했다,114
단계,캠퍼스,113
단계,학생,269
단계,생활,175
단계,하는,148
단계,에서,175
단계,있다,125
단계,코로나,104
단계,있는,109
단계,하고,136
단계,이다,161
단계,취업,157
단계,지원,174
교육,단계,155
다양한,단계,108
단계,메타,174
단계,버스,189
단계,이프,156
단계,랜드,156
SKT,단계,108
으로,일상,157
대학,일상,185
일상,학생,120
에서,일상,107
으로,회복,114
대학,회복,131
시행,으로,143
대학,시행,154
수업,시행,107
시행,학생,117
시행,에서,100
메타,시행,116
버스,시행,121
시행,이프,104
랜드,시행,104
대면,으로,747
강의,대면,185
대면,진행,169
대면,대학,822
대면,수업,478
대면,시작,104
대면,했다,320
대면,지난,156
대면,서울,123
대면,캠퍼스,216
대면,학교,216
대면,학생,379
대면,생활,373
대면,하는,385
대면,에서,460
대면,한다,116
대면,부터,150
대면,한다는,103
대면,입학,228
대면,있다,313
대면,대학생,106
대면,비대,236
대면,동기,102
대면,코로나,353
19,대면,203
대면,지난해,161
대면,소통,155
대면,확대,124
대면,실습,191
대면,있는,275
까지,대면,105
대면,하고,329
대면,위해,139
대면,이다,538
대면,취업,317
공간,대면,153
대면,학번,148
대면,전문대,102
대면,졸업,133
대면,시대,182
기업,대면,104
대면,학과,120
대면,신입생,237
"),",대면,160
대면,선린대,170
계열,대면,174
대면,사회,159
대면,실무,102
대면,예정,162
대면,역량,138
대면,지원,166
대면,전문,129
교육,대면,141
대면,학기,114
계획,대면,176
대면,지역,133
대면,장학금,108
다양한,대면,303
대면,통해,241
대면,세상,102
대면,대부분,105
대면,활동,106
대면,상황,108
대면,지속,122
대면,더욱,110
국내,대면,127
대면,행사,121
대면,이나,108
대면,메타,493
대면,버스,493
대면,이프,442
대면,랜드,442
SKT,대면,306
